path,video_no,video_amount,frame_no,frame_amount,node_id,x1,y1,x2,y2,conf,detclass
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,8,569,115,593,167,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,7,312,307,330,323,0,14 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,6,565,114,594,218,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,5,0,199,39,321,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,4,27,255,105,324,0,26 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,3,47,120,84,213,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,2,541,99,568,242,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,5,1439,1,478,116,516,240,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,8,572,116,595,166,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,7,312,307,330,322,0,14 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,6,565,115,594,220,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,5,0,197,39,316,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,4,26,255,105,324,0,26 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,3,46,121,82,213,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,2,541,99,568,243,0,0 
/Users/xiaokeai/Downloads/yolov7-main/datasets/Avenue Dataset/testing_videos/01.avi,0,37,6,1439,1,478,115,516,239,0,0 
